 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
158   1.00e+00    1.25e-10   1.00e+00  -2.50e-10  -1.25e-10    12
159   1.00e+00    1.26e-10   1.00e+00  -2.53e-10  -1.27e-10    13
160   1.00e+00    1.28e-10   1.00e+00  -2.57e-10  -1.29e-10    12
161   1.00e+00    1.30e-10   1.00e+00  -2.60e-10  -1.31e-10    13
162   1.00e+00    1.31e-10   1.00e+00  -2.64e-10  -1.32e-10    12
163   1.00e+00    1.33e-10   1.00e+00  -2.67e-10  -1.34e-10    13
164   1.00e+00    1.35e-10   1.00e+00  -2.71e-10  -1.36e-10    12
165   1.00e+00    1.37e-10   1.00e+00  -2.74e-10  -1.38e-10    13
166   1.00e+00    1.39e-10   1.00e+00  -2.78e-10  -1.39e-10    12
167   1.00e+00    1.40e-10   1.00e+00  -2.82e-10  -1.41e-10    13
168   1.00e+00    1.42e-10   1.00e+00  -2.86e-10  -1.43e-10    13
169   1.00e+00    1.44e-10   1.00e+00  -2.89e-10  -1.45e-10    13
170   1.00e+00    1.46e-10   1.00e+00  -2.93e-10  -1.47e-10    12
171   1.00e+00    1.48e-10   1.00e+00  -2.97e-10  -1.49e-10    13
172   1.00e+00    1.50e-10   1.00e+00  -3.01e-10  -1.51e-10    12
173   1.00e+00    1.52e-10   1.00e+00  -3.05e-10  -1.53e-10    13
174   1.00e+00    1.54e-10   1.00e+00  -3.09e-10  -1.55e-10    12
175   1.00e+00    1.56e-10   1.00e+00  -3.13e-10  -1.57e-10    13
176   1.00e+00    1.58e-10   1.00e+00  -3.17e-10  -1.59e-10    12
177   1.00e+00    1.60e-10   1.00e+00  -3.22e-10  -1.61e-10    13
178   1.00e+00    1.62e-10   1.00e+00  -3.26e-10  -1.63e-10    12
179   1.00e+00    1.65e-10   1.00e+00  -3.30e-10  -1.66e-10    13
180   1.00e+00    1.67e-10   1.00e+00  -3.35e-10  -1.68e-10    12
181   1.00e+00    1.69e-10   1.00e+00  -3.39e-10  -1.70e-10    13
182   1.00e+00    1.71e-10   1.00e+00  -3.44e-10  -1.72e-10    12
183   1.00e+00    1.74e-10   1.00e+00  -3.48e-10  -1.75e-10    13
184   1.00e+00    1.76e-10   1.00e+00  -3.53e-10  -1.77e-10    12
185   1.00e+00    1.78e-10   1.00e+00  -3.58e-10  -1.79e-10    13
186   1.00e+00    1.81e-10   1.00e+00  -3.62e-10  -1.82e-10    13
187   1.00e+00    1.83e-10   1.00e+00  -3.67e-10  -1.84e-10    13
188   1.00e+00    1.85e-10   1.00e+00  -3.72e-10  -1.87e-10    12
189   1.00e+00    1.88e-10   1.00e+00  -3.77e-10  -1.89e-10    13
190   1.00e+00    1.90e-10   1.00e+00  -3.82e-10  -1.92e-10    12
191   1.00e+00    1.93e-10   1.00e+00  -3.87e-10  -1.94e-10    13
192   1.00e+00    1.96e-10   1.00e+00  -3.92e-10  -1.97e-10    12
193   1.00e+00    1.98e-10   1.00e+00  -3.97e-10  -1.99e-10    13
194   1.00e+00    2.01e-10   1.00e+00  -4.03e-10  -2.02e-10    12
